rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated,execute_roundtrip_ms,fetch_dataframe_ms,query_id,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned
10000000,parquet,clean_derive,pandas,1,5,76.0055,187.754,10000000,True,,,,,,,,,
10000000,warehouse,filter_project,snowflake,1,1,1029.246958,211.644,1980090,True,425.473583,603.773375,01c6f1cf-0001-fe0c-0001-9ade000af886,292.0,33.0,259.0,0.0,0.0,226409984.0
10000000,warehouse,filter_project,snowflake,1,2,1165.758458,235.873,1980090,True,397.369083,768.389375,01c6f1cf-0001-fe0c-0001-9ade000af88a,322.0,35.0,287.0,0.0,0.0,215731712.0
10000000,warehouse,filter_project,snowflake,1,3,1076.453958,248.574,1980090,True,352.533,723.920958,01c6f1cf-0001-fcf8-0001-9ade000aa39e,291.0,36.0,255.0,0.0,0.0,215731200.0
10000000,warehouse,filter_project,snowflake,1,4,999.619958,258.285,1980090,True,332.802833,666.817125,01c6f1cf-0001-fe0c-0001-9ade000af88e,276.0,30.0,246.0,0.0,0.0,215731200.0
10000000,warehouse,filter_project,snowflake,1,5,1446.060417,261.348,1980090,True,367.53625,1078.524167,01c6f1cf-0001-fcf8-0001-9ade000aa3a2,302.0,33.0,269.0,0.0,0.0,226409984.0
1000000,warehouse,join_groupby,snowflake,1,1,154.383042,2.472,200,True,153.747708,0.635334,01c6f1cf-0001-fe0c-0001-9ade000af89a,117.0,48.0,69.0,0.0,0.0,7865856.0
1000000,warehouse,join_groupby,snowflake,1,2,319.675583,3.081,200,True,318.677042,0.998541,01c6f1cf-0001-fcf8-0001-9ade000aa3aa,267.0,198.0,69.0,0.0,0.0,7865856.0
1000000,warehouse,join_groupby,snowflake,1,3,178.077125,4.423,200,True,176.77775,1.299375,01c6f1cf-0001-fcf8-0001-9ade000aa3ae,131.0,60.0,71.0,0.0,0.0,7865856.0
1000000,warehouse,join_groupby,snowflake,1,4,196.185666,5.246,200,True,194.2135,1.972166,01c6f1cf-0001-fcf8-0001-9ade000aa3b2,146.0,74.0,72.0,0.0,0.0,7865856.0
1000000,warehouse,join_groupby,snowflake,1,5,191.887583,4.596,200,True,190.584791,1.302792,01c6f1cf-0001-fe0c-0001-9ade000af89e,155.0,83.0,72.0,0.0,0.0,7865856.0
10000000,warehouse,groupby,snowflake,1,1,180.203833,4.577,50,True,178.367708,1.836125,01c6f1cf-0001-fcf8-0001-9ade000aa3ba,129.0,51.0,78.0,0.0,0.0,226409984.0
10000000,warehouse,groupby,snowflake,1,2,134.966625,3.898,50,True,133.562709,1.403916,01c6f1cf-0001-fe0c-0001-9ade000af8aa,100.0,43.0,57.0,0.0,0.0,226409984.0
10000000,warehouse,groupby,snowflake,1,3,117.901833,2.346,50,True,117.299291,0.602542,01c6f1cf-0001-fcf8-0001-9ade000aa3be,90.0,39.0,51.0,0.0,0.0,226409984.0
10000000,warehouse,groupby,snowflake,1,4,147.1055,2.355,50,True,146.426667,0.678833,01c6f1cf-0001-fcf8-0001-9ade000aa3c2,88.0,34.0,54.0,0.0,0.0,226409984.0
10000000,warehouse,groupby,snowflake,1,5,128.441042,2.243,50,True,127.79925,0.641792,01c6f1cf-0001-fcf8-0001-9ade000aa3c6,99.0,47.0,52.0,0.0,0.0,226409984.0
10000000,parquet,join_groupby,pandas,1,1,403.884458,484.181,200,True,,,,,,,,,
10000000,parquet,join_groupby,pandas,1,2,385.4525,468.265,200,True,,,,,,,,,
10000000,parquet,join_groupby,pandas,1,3,377.625209,455.951,200,True,,,,,,,,,
10000000,parquet,join_groupby,pandas,1,4,385.977417,474.541,200,True,,,,,,,,,
10000000,parquet,join_groupby,pandas,1,5,379.158334,457.188,200,True,,,,,,,,,
10000000,parquet,join_groupby,duckdb,1,1,45.584792,168.426,200,True,,,,,,,,,
10000000,parquet,join_groupby,duckdb,1,2,45.745708,169.019,200,True,,,,,,,,,
10000000,parquet,join_groupby,duckdb,1,3,47.775583,173.064,200,True,,,,,,,,,
10000000,parquet,join_groupby,duckdb,1,4,46.986875,172.976,200,True,,,,,,,,,
10000000,parquet,join_groupby,duckdb,1,5,44.855333,165.863,200,True,,,,,,,,,
100000,warehouse,filter_project,snowflake,1,1,296.965209,8.009,19886,True,258.948,38.017209,01c6f1cf-0001-fcf8-0001-9ade000aa3d2,181.0,72.0,109.0,0.0,0.0,973312.0
100000,warehouse,filter_project,snowflake,1,2,319.016042,25.631,19886,True,274.07575,44.940292,01c6f1cf-0001-fcf8-0001-9ade000aa3d6,171.0,52.0,119.0,0.0,0.0,973312.0
100000,warehouse,filter_project,snowflake,1,3,305.393666,12.008,19886,True,267.617375,37.776291,01c6f1cf-0001-fcf8-0001-9ade000aa3da,163.0,51.0,112.0,0.0,0.0,973312.0
100000,warehouse,filter_project,snowflake,1,4,240.895375,10.301,19886,True,202.968625,37.92675,01c6f1cf-0001-fe0c-0001-9ade000af8b2,146.0,41.0,105.0,0.0,0.0,973312.0
100000,warehouse,filter_project,snowflake,1,5,249.518667,11.9,19886,True,209.07325,40.445417,01c6f1cf-0001-fe0c-0001-9ade000af8b6,147.0,37.0,110.0,0.0,0.0,973312.0
100000,parquet,filter_project,pandas,1,1,2.898667,3.688,19886,True,,,,,,,,,
100000,parquet,filter_project,pandas,1,2,2.584208,3.361,19886,True,,,,,,,,,
100000,parquet,filter_project,pandas,1,3,2.4825,3.323,19886,True,,,,,,,,,
100000,parquet,filter_project,pandas,1,4,2.511959,3.277,19886,True,,,,,,,,,
100000,parquet,filter_project,pandas,1,5,2.787417,3.572,19886,True,,,,,,,,,
100000,parquet,filter_project,duckdb,1,1,2.506958,2.527,19886,True,,,,,,,,,
100000,parquet,filter_project,duckdb,1,2,2.222083,2.284,19886,True,,,,,,,,,
100000,parquet,filter_project,duckdb,1,3,2.501917,2.524,19886,True,,,,,,,,,
