rows,workload,path,n,mean_ms,std_ms,median_ms,min_ms,max_ms
100000000,filter_project,pandas,30,700.0417359666667,19.115872499645302,692.0574790000001,680.047417,743.518166
100000000,filter_project,snowflake_large,30,505.6666666666667,65.50089935330624,480.5,444.0,661.0
100000000,filter_project,snowflake_medium,30,508.3333333333333,31.48325590371572,508.5,453.0,594.0
100000000,filter_project,snowflake_small,30,718.7,47.885027535430794,706.5,648.0,872.0
100000000,filter_project,snowflake_xsmall,30,994.0666666666667,40.46959977250982,993.0,906.0,1078.0
100000000,groupby,duckdb,30,279.1039652333333,7.547997845866684,275.6949165,268.687125,298.615041
100000000,groupby,pandas,30,1865.9253015333334,96.44820472920159,1857.620875,1724.774667,2070.282792
100000000,groupby,snowflake_large,30,233.36666666666667,229.514853149185,149.5,121.0,963.0
100000000,groupby,snowflake_medium,30,179.63333333333333,41.535596145071,169.0,145.0,345.0
100000000,groupby,snowflake_small,30,237.13333333333333,12.748856157841509,237.5,210.0,267.0
100000000,groupby,snowflake_xsmall,30,337.76666666666665,26.283183732691835,329.0,287.0,408.0
100000000,join_groupby,duckdb,30,413.15554860000003,9.670858386957242,412.056604,400.086125,433.301958
100000000,join_groupby,pandas,30,5784.9714347,394.95707619311764,5598.399354,5413.741667,6491.187
100000000,join_groupby,snowflake_large,30,288.1666666666667,60.99467660962425,275.0,251.0,597.0
100000000,join_groupby,snowflake_medium,30,330.73333333333335,99.64936227743182,298.5,266.0,664.0
100000000,join_groupby,snowflake_small,30,478.1,43.34492771502439,470.0,440.0,694.0
100000000,join_groupby,snowflake_xsmall,30,719.2,53.67038610656333,704.0,670.0,930.0
1000000000,clean_derive,duckdb,30,22731.585898666668,1138.7439385267598,22303.3596875,21396.841334,24885.951333
1000000000,clean_derive,pandas,30,9862.0219403,536.3231779040564,9688.8225835,9422.823083,11748.94575
1000000000,clean_derive,snowflake_large,30,5326.966666666666,156.75865115726046,5270.0,5179.0,5914.0
1000000000,clean_derive,snowflake_medium,30,10015.933333333332,146.97711136217032,9959.5,9866.0,10357.0
1000000000,clean_derive,snowflake_small,30,18015.4,211.3474994345601,18026.5,17485.0,18516.0
1000000000,clean_derive,snowflake_xsmall,30,34392.433333333334,229.36248728750883,34408.5,34010.0,34796.0
1000000000,filter_project,duckdb,30,14806.660625,488.07553720043416,14580.0893335,14180.952333,15667.945375
1000000000,filter_project,pandas,30,7745.860125033333,441.18195252094813,7705.537583,7038.874959,9069.804583
1000000000,filter_project,snowflake_large,30,1275.2,100.93780946360162,1240.0,1199.0,1663.0
1000000000,filter_project,snowflake_medium,30,2164.5333333333333,133.1415459740791,2135.0,2018.0,2639.0
1000000000,filter_project,snowflake_small,30,3646.9,148.17262765506624,3607.5,3464.0,4307.0
1000000000,filter_project,snowflake_xsmall,30,6521.466666666666,79.32027324162743,6517.0,6336.0,6696.0
