query_id,client_execute_roundtrip_ms,output_rows,validation,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned,elapsed_ms,path,rows,workload,block,run,metric_scope,cpu_ms,input_ms,output_bytes,output_batches,checksum,type,block_peak_rss_bytes
01c6f2dc-0001-fcf8-0001-9ade000ba90e,10100.503916,1000000000,row-count; full checksum query before block,9979.0,56.0,9923.0,0.0,0.0,7635108352.0,9979.0,snowflake_medium,1000000000,clean_derive,1,5,platform_query,,,,,,,
01c6f2dd-0001-fe0c-0001-9ade000bf03a,245.616417,19886,row-count; full checksum query before block,147.0,34.0,113.0,0.0,0.0,973312.0,147.0,snowflake_medium,100000,filter_project,1,1,platform_query,,,,,,,
01c6f2dd-0001-fe2b-0001-9ade000bd092,253.526375,19886,row-count; full checksum query before block,171.0,56.0,115.0,0.0,0.0,973312.0,171.0,snowflake_medium,100000,filter_project,1,2,platform_query,,,,,,,
01c6f2dd-0001-fcf9-0001-9ade000be052,395.675667,19886,row-count; full checksum query before block,149.0,45.0,104.0,0.0,0.0,973312.0,149.0,snowflake_medium,100000,filter_project,1,3,platform_query,,,,,,,
01c6f2dd-0001-fcf8-0001-9ade000ba916,199.813166,19886,row-count; full checksum query before block,141.0,32.0,109.0,0.0,0.0,973312.0,141.0,snowflake_medium,100000,filter_project,1,4,platform_query,,,,,,,
01c6f2dd-0001-fe2b-0001-9ade000bd096,234.110375,19886,row-count; full checksum query before block,156.0,48.0,108.0,0.0,0.0,973312.0,156.0,snowflake_medium,100000,filter_project,1,5,platform_query,,,,,,,
01c6f2dd-0001-fe0c-0001-9ade000bf046,1548.98775,100000000,row-count; full checksum query before block,1469.0,43.0,1426.0,0.0,0.0,3116867584.0,1469.0,snowflake_medium,100000000,clean_derive,1,1,platform_query,,,,,,,
01c6f2dd-0001-fe0c-0001-9ade000bf04a,1486.374166,100000000,row-count; full checksum query before block,1396.0,42.0,1354.0,0.0,0.0,3116867584.0,1396.0,snowflake_medium,100000000,clean_derive,1,2,platform_query,,,,,,,
01c6f2dd-0001-fe2b-0001-9ade000bd09a,2082.24075,100000000,row-count; full checksum query before block,1489.0,112.0,1377.0,0.0,0.0,3116867584.0,1489.0,snowflake_medium,100000000,clean_derive,1,3,platform_query,,,,,,,
01c6f2dd-0001-fe2b-0001-9ade000bd09e,1521.241042,100000000,row-count; full checksum query before block,1430.0,56.0,1374.0,0.0,0.0,3116867584.0,1430.0,snowflake_medium,100000000,clean_derive,1,4,platform_query,,,,,,,
01c6f2dd-0001-fe2b-0001-9ade000bd0a2,1577.448583,100000000,row-count; full checksum query before block,1474.0,35.0,1439.0,0.0,0.0,3116867584.0,1474.0,snowflake_medium,100000000,clean_derive,1,5,platform_query,,,,,,,
01c6f2dd-0001-fcf8-0001-9ade000ba91e,576.016167,10000000,row-count; full checksum query before block,484.0,38.0,446.0,0.0,0.0,151591936.0,484.0,snowflake_medium,10000000,clean_derive,1,1,platform_query,,,,,,,
01c6f2dd-0001-fcf9-0001-9ade000be05a,698.13025,10000000,row-count; full checksum query before block,550.0,60.0,490.0,0.0,0.0,151591936.0,550.0,snowflake_medium,10000000,clean_derive,1,2,platform_query,,,,,,,
01c6f2dd-0001-fcf8-0001-9ade000ba922,535.844833,10000000,row-count; full checksum query before block,471.0,40.0,431.0,0.0,0.0,151591936.0,471.0,snowflake_medium,10000000,clean_derive,1,3,platform_query,,,,,,,
01c6f2dd-0001-fe0c-0001-9ade000bf04e,603.044875,10000000,row-count; full checksum query before block,476.0,37.0,439.0,0.0,0.0,151591936.0,476.0,snowflake_medium,10000000,clean_derive,1,4,platform_query,,,,,,,
01c6f2dd-0001-fcf9-0001-9ade000be05e,501.819042,10000000,row-count; full checksum query before block,430.0,40.0,390.0,0.0,0.0,151591936.0,430.0,snowflake_medium,10000000,clean_derive,1,5,platform_query,,,,,,,
01c6f2dd-0001-fe2b-0001-9ade000bd0ae,446.807125,198279,row-count; full checksum query before block,386.0,154.0,232.0,0.0,0.0,7627264.0,386.0,snowflake_medium,1000000,filter_project,1,1,platform_query,,,,,,,
01c6f2dd-0001-fcf8-0001-9ade000ba92e,409.728791,198279,row-count; full checksum query before block,265.0,44.0,221.0,0.0,0.0,7627264.0,265.0,snowflake_medium,1000000,filter_project,1,2,platform_query,,,,,,,
01c6f2dd-0001-fe0c-0001-9ade000bf056,331.439708,198279,row-count; full checksum query before block,266.0,49.0,217.0,0.0,0.0,7627264.0,266.0,snowflake_medium,1000000,filter_project,1,3,platform_query,,,,,,,
