query_id,client_execute_roundtrip_ms,output_rows,validation,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned,elapsed_ms,path,rows,workload,block,run,metric_scope,cpu_ms,input_ms,output_bytes,output_batches,checksum,type,block_peak_rss_bytes
,,200,row-count; full checksum in block warmup,,,,,,,6.212459,pandas,10000,join_groupby,1,2,local_parquet_to_batches,6.468,1.9402510000000002,6400.0,1.0,,measurement,145506304.0
,,50,row-count; full checksum in block warmup,,,,,,,2.781041,pandas,10000,groupby,1,1,local_parquet_to_batches,2.897,0.946875,1600.0,1.0,,measurement,130138112.0
,,50,row-count; full checksum in block warmup,,,,,,,2.857709,pandas,10000,groupby,1,2,local_parquet_to_batches,2.898,1.057042,1600.0,1.0,,measurement,130629632.0
,,10000,row-count; full checksum in block warmup,,,,,,,1.790375,pandas,10000,clean_derive,1,1,local_parquet_to_batches,2.068,1.030334,160000.0,1.0,,measurement,131645440.0
,,10000,row-count; full checksum in block warmup,,,,,,,1.731416,pandas,10000,clean_derive,1,2,local_parquet_to_batches,2.053,1.027124,160000.0,1.0,,measurement,131645440.0
,,50,row-count; full checksum in block warmup,,,,,,,3.904541,pandas,100000,groupby,1,1,local_parquet_to_batches,4.319,1.394708,1600.0,1.0,,measurement,139378688.0
,,50,row-count; full checksum in block warmup,,,,,,,3.86125,pandas,100000,groupby,1,2,local_parquet_to_batches,4.258,1.385666,1600.0,1.0,,measurement,143048704.0
,,200,row-count; full checksum in block warmup,,,,,,,5.37075,pandas,1000,join_groupby,1,1,local_parquet_to_batches,5.543,1.896126,6400.0,1.0,,measurement,138018816.0
,,200,row-count; full checksum in block warmup,,,,,,,5.301333,pandas,1000,join_groupby,1,2,local_parquet_to_batches,5.674,1.861707,6400.0,1.0,,measurement,138035200.0
,,200,row-count; full checksum in block warmup,,,,,,,8.970625,pandas,100000,join_groupby,1,1,local_parquet_to_batches,9.662,2.432209,6400.0,1.0,,measurement,152141824.0
,,200,row-count; full checksum in block warmup,,,,,,,8.856834,pandas,100000,join_groupby,1,2,local_parquet_to_batches,9.741,2.454875,6400.0,1.0,,measurement,152174592.0
,,189,row-count; full checksum in block warmup,,,,,,,1.825333,pandas,1000,filter_project,1,1,local_parquet_to_batches,2.018,1.1322489999999998,4536.0,1.0,,measurement,130367488.0
,,189,row-count; full checksum in block warmup,,,,,,,1.751958,pandas,1000,filter_project,1,2,local_parquet_to_batches,1.892,1.095958,4536.0,1.0,,measurement,130367488.0
,,1000,row-count; full checksum in block warmup,,,,,,,1.415708,pandas,1000,clean_derive,1,1,local_parquet_to_batches,1.578,0.82675,16000.0,1.0,,measurement,129974272.0
,,1000,row-count; full checksum in block warmup,,,,,,,1.321417,pandas,1000,clean_derive,1,2,local_parquet_to_batches,1.478,0.813958,16000.0,1.0,,measurement,129974272.0
01c6f2c2-0001-fcf8-0001-9ade000ba74e,754.353375,200,row-count; full checksum query before block,681.0,658.0,23.0,0.0,0.0,248832.0,681.0,snowflake_small,1000,join_groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e5a,150.576625,200,row-count; full checksum query before block,117.0,86.0,31.0,0.0,0.0,248832.0,117.0,snowflake_small,1000,join_groupby,1,2,platform_query,,,,,,,
