rows,mode,workload,engine,block,run,call_id,compute_to_dataframe_ms,cpu_ms,elapsed_ms,fingerprint,input_ms,output_bytes,output_rows,query_ids,setup_ms,validated,server_queries
1000,warehouse,groupby,snowflake,1,1,01c6f21d-0001-fe2b-0001-9ade000b81da,107.423351,0.0,107.423351,"{""columns"": [""region_id"", ""total_cents"", ""total_quantity"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""10444308999742168037"", ""hash_xor"": ""5638033058446785103"", ""rows"": 50}",,1732,50,"[""01c6f21d-0001-fe2b-0001-9ade000b81f6""]",0.0,True,"{""01c6f21d-0001-fe2b-0001-9ade000b81f6"": {""server_total_ms"": 88, ""server_compilation_ms"": 70, ""server_execution_ms"": 18, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
1000,warehouse,groupby,snowflake,1,2,01c6f21d-0001-fe2b-0001-9ade000b81da,114.015138,10.0,114.015138,"{""columns"": [""region_id"", ""total_cents"", ""total_quantity"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""10444308999742168037"", ""hash_xor"": ""5638033058446785103"", ""rows"": 50}",,1732,50,"[""01c6f21d-0001-fe2b-0001-9ade000b81fa""]",0.0,True,"{""01c6f21d-0001-fe2b-0001-9ade000b81fa"": {""server_total_ms"": 94, ""server_compilation_ms"": 76, ""server_execution_ms"": 18, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
100000,warehouse,join_groupby,snowflake,1,1,01c6f21d-0001-fcf9-0001-9ade000b515e,157.624601,0.0,157.624601,"{""columns"": [""region_id"", ""tier"", ""total_cents"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""15482229778153811636"", ""hash_xor"": ""14299020784962879478"", ""rows"": 200}",,6532,200,"[""01c6f21d-0001-fcf9-0001-9ade000b517a""]",0.0,True,"{""01c6f21d-0001-fcf9-0001-9ade000b517a"": {""server_total_ms"": 128, ""server_compilation_ms"": 79, ""server_execution_ms"": 49, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 1211904}}"
100000,warehouse,join_groupby,snowflake,1,2,01c6f21d-0001-fcf9-0001-9ade000b515e,153.653055,0.0,153.653055,"{""columns"": [""region_id"", ""tier"", ""total_cents"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""15482229778153811636"", ""hash_xor"": ""14299020784962879478"", ""rows"": 200}",,6532,200,"[""01c6f21d-0001-fcf9-0001-9ade000b517e""]",0.0,True,"{""01c6f21d-0001-fcf9-0001-9ade000b517e"": {""server_total_ms"": 125, ""server_compilation_ms"": 79, ""server_execution_ms"": 46, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 1211904}}"
10000,warehouse,clean_derive,pandas,1,1,01c6f21d-0001-fcf8-0001-9ade000aa912,0.980332,20.0,94.841776,"{""columns"": [""id"", ""net_cents""], ""dtypes"": [""int64"", ""int64""], ""hash_sum"": ""13143342722286534326"", ""hash_xor"": ""9500279252468633194"", ""rows"": 10000}",93.861444,160132,10000,"[""01c6f21d-0001-fcf8-0001-9ade000aa92e""]",0.0,True,"{""01c6f21d-0001-fcf8-0001-9ade000aa92e"": {""server_total_ms"": 70, ""server_compilation_ms"": 59, ""server_execution_ms"": 11, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}}"
10000,warehouse,clean_derive,pandas,1,2,01c6f21d-0001-fcf8-0001-9ade000aa912,0.932199,30.0,95.931677,"{""columns"": [""id"", ""net_cents""], ""dtypes"": [""int64"", ""int64""], ""hash_sum"": ""13143342722286534326"", ""hash_xor"": ""9500279252468633194"", ""rows"": 10000}",94.999478,160132,10000,"[""01c6f21d-0001-fcf8-0001-9ade000aa932""]",0.0,True,"{""01c6f21d-0001-fcf8-0001-9ade000aa932"": {""server_total_ms"": 73, ""server_compilation_ms"": 60, ""server_execution_ms"": 13, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}}"
10000,warehouse,filter_project,duckdb,1,1,01c6f21d-0001-fcf8-0001-9ade000aa936,2.53384,30.0,103.04509,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""4438786673139026090"", ""hash_xor"": ""9953242822682148052"", ""rows"": 2004}",87.349965,48228,2004,"[""01c6f21d-0001-fcf8-0001-9ade000aa952""]",13.161285,True,"{""01c6f21d-0001-fcf8-0001-9ade000aa952"": {""server_total_ms"": 69, ""server_compilation_ms"": 59, ""server_execution_ms"": 10, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}}"
10000,warehouse,filter_project,duckdb,1,2,01c6f21d-0001-fcf8-0001-9ade000aa936,2.206411,30.0,103.505926,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""4438786673139026090"", ""hash_xor"": ""9953242822682148052"", ""rows"": 2004}",88.806074,48228,2004,"[""01c6f21d-0001-fcf8-0001-9ade000aa956""]",12.493441,True,"{""01c6f21d-0001-fcf8-0001-9ade000aa956"": {""server_total_ms"": 68, ""server_compilation_ms"": 57, ""server_execution_ms"": 11, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}}"
100000,warehouse,filter_project,snowflake,1,1,01c6f21d-0001-fcf9-0001-9ade000b5186,259.303692,10.0,259.303692,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""6934637738391437775"", ""hash_xor"": ""13010755706745315299"", ""rows"": 19886}",,477396,19886,"[""01c6f21d-0001-fcf9-0001-9ade000b51a2""]",0.0,True,"{""01c6f21d-0001-fcf9-0001-9ade000b51a2"": {""server_total_ms"": 167, ""server_compilation_ms"": 67, ""server_execution_ms"": 100, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 973312}}"
100000,warehouse,filter_project,snowflake,1,2,01c6f21d-0001-fcf9-0001-9ade000b5186,268.518886,10.0,268.518886,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""6934637738391437775"", ""hash_xor"": ""13010755706745315299"", ""rows"": 19886}",,477396,19886,"[""01c6f21d-0001-fcf9-0001-9ade000b51a6""]",0.0,True,"{""01c6f21d-0001-fcf9-0001-9ade000b51a6"": {""server_total_ms"": 177, ""server_compilation_ms"": 77, ""server_execution_ms"": 100, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 973312}}"
10000,warehouse,filter_project,pandas,1,1,01c6f21d-0001-fe2b-0001-9ade000b8202,1.19331,10.0,108.358884,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""4438786673139026090"", ""hash_xor"": ""9953242822682148052"", ""rows"": 2004}",107.165574,48228,2004,"[""01c6f21e-0001-fe2b-0001-9ade000b821e""]",0.0,True,"{""01c6f21e-0001-fe2b-0001-9ade000b821e"": {""server_total_ms"": 85, ""server_compilation_ms"": 73, ""server_execution_ms"": 12, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}}"
10000,warehouse,filter_project,pandas,1,2,01c6f21d-0001-fe2b-0001-9ade000b8202,1.040966,10.0,109.753474,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""4438786673139026090"", ""hash_xor"": ""9953242822682148052"", ""rows"": 2004}",108.712508,48228,2004,"[""01c6f21e-0001-fe2b-0001-9ade000b8222""]",0.0,True,"{""01c6f21e-0001-fe2b-0001-9ade000b8222"": {""server_total_ms"": 87, ""server_compilation_ms"": 76, ""server_execution_ms"": 11, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}}"
10000,warehouse,filter_project,snowflake,1,1,01c6f21e-0001-fcf9-0001-9ade000b51aa,95.974198,0.0,95.974198,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""4438786673139026090"", ""hash_xor"": ""9953242822682148052"", ""rows"": 2004}",,48228,2004,"[""01c6f21e-0001-fcf9-0001-9ade000b51c6""]",0.0,True,"{""01c6f21e-0001-fcf9-0001-9ade000b51c6"": {""server_total_ms"": 78, ""server_compilation_ms"": 69, ""server_execution_ms"": 9, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}}"
10000,warehouse,filter_project,snowflake,1,2,01c6f21e-0001-fcf9-0001-9ade000b51aa,109.465701,10.0,109.465701,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""4438786673139026090"", ""hash_xor"": ""9953242822682148052"", ""rows"": 2004}",,48228,2004,"[""01c6f21e-0001-fcf9-0001-9ade000b51ca""]",0.0,True,"{""01c6f21e-0001-fcf9-0001-9ade000b51ca"": {""server_total_ms"": 91, ""server_compilation_ms"": 83, ""server_execution_ms"": 8, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}}"
