rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated
1000000,parquet,filter_project,pandas,1,5,7.504667,22.431,198279,True
1000000,parquet,filter_project,duckdb,1,1,6.792792,19.813,198279,True
1000000,parquet,filter_project,duckdb,1,2,6.354041,18.868,198279,True
1000000,parquet,filter_project,duckdb,1,3,6.16225,19.676,198279,True
1000000,parquet,filter_project,duckdb,1,4,6.575417,20.417,198279,True
1000000,parquet,filter_project,duckdb,1,5,6.581625,19.155,198279,True
1000000,memory,groupby,pandas,1,1,8.652875,8.65,50,True
1000000,memory,groupby,pandas,1,2,8.241541,8.24,50,True
1000000,memory,groupby,pandas,1,3,8.082167,8.063,50,True
1000000,memory,groupby,pandas,1,4,8.211042,8.209,50,True
1000000,memory,groupby,pandas,1,5,8.190791,8.192,50,True
1000000,memory,groupby,duckdb,1,1,2.649958,7.46,50,True
1000000,memory,groupby,duckdb,1,2,2.622917,7.281,50,True
1000000,memory,groupby,duckdb,1,3,2.6255,6.81,50,True
1000000,memory,groupby,duckdb,1,4,2.527042,7.039,50,True
1000000,memory,groupby,duckdb,1,5,2.962875,7.951,50,True
10000000,memory,join_groupby,duckdb,1,1,37.97325,142.812,200,True
10000000,memory,join_groupby,duckdb,1,2,37.540584,140.708,200,True
10000000,memory,join_groupby,duckdb,1,3,37.175417,139.053,200,True
10000000,memory,join_groupby,duckdb,1,4,39.107125,147.594,200,True
10000000,memory,join_groupby,duckdb,1,5,38.103459,143.417,200,True
10000000,memory,join_groupby,pandas,1,1,464.181,411.233,200,True
10000000,memory,join_groupby,pandas,1,2,244.632,244.034,200,True
10000000,memory,join_groupby,pandas,1,3,297.552,296.912,200,True
10000000,memory,join_groupby,pandas,1,4,372.97075,323.348,200,True
10000000,memory,join_groupby,pandas,1,5,489.459584,362.641,200,True
10000000,parquet,join_groupby,pandas,1,1,318.907,407.89,200,True
10000000,parquet,join_groupby,pandas,1,2,336.231792,425.628,200,True
10000000,parquet,join_groupby,pandas,1,3,419.753625,477.927,200,True
10000000,parquet,join_groupby,pandas,1,4,415.909625,465.895,200,True
10000000,parquet,join_groupby,pandas,1,5,412.896583,454.726,200,True
10000000,parquet,join_groupby,duckdb,1,1,45.734834,167.732,200,True
10000000,parquet,join_groupby,duckdb,1,2,45.136541,167.46,200,True
10000000,parquet,join_groupby,duckdb,1,3,44.675375,165.671,200,True
10000000,parquet,join_groupby,duckdb,1,4,45.297667,166.928,200,True
10000000,parquet,join_groupby,duckdb,1,5,45.636375,168.442,200,True
10000000,memory,groupby,pandas,1,1,65.792083,65.716,50,True
10000000,memory,groupby,pandas,1,2,67.668458,67.651,50,True
10000000,memory,groupby,pandas,1,3,67.109125,66.986,50,True
10000000,memory,groupby,pandas,1,4,63.716417,63.579,50,True
10000000,memory,groupby,pandas,1,5,63.3985,63.286,50,True
10000000,memory,groupby,duckdb,1,1,13.85,52.111,50,True
10000000,memory,groupby,duckdb,1,2,13.938542,52.694,50,True
10000000,memory,groupby,duckdb,1,3,14.768042,55.859,50,True
10000000,memory,groupby,duckdb,1,4,13.867833,52.26,50,True
10000000,memory,groupby,duckdb,1,5,14.475458,54.952,50,True
1000000,memory,clean_derive,pandas,1,1,4.108334,4.068,1000000,True
1000000,memory,clean_derive,pandas,1,2,3.531584,3.534,1000000,True
1000000,memory,clean_derive,pandas,1,3,3.44175,3.447,1000000,True
1000000,memory,clean_derive,pandas,1,4,3.451667,3.46,1000000,True
1000000,memory,clean_derive,pandas,1,5,3.403667,3.412,1000000,True
1000000,memory,clean_derive,duckdb,1,1,5.624834,14.735,1000000,True
1000000,memory,clean_derive,duckdb,1,2,5.596709,13.551,1000000,True
1000000,memory,clean_derive,duckdb,1,3,5.888583,14.099,1000000,True
1000000,memory,clean_derive,duckdb,1,4,5.188875,12.841,1000000,True
1000000,memory,clean_derive,duckdb,1,5,5.019958,12.903,1000000,True
100000,memory,groupby,duckdb,1,1,1.509917,1.784,50,True
100000,memory,groupby,duckdb,1,2,1.530875,1.875,50,True
100000,memory,groupby,duckdb,1,3,1.45375,1.788,50,True
100000,memory,groupby,duckdb,1,4,1.29475,1.532,50,True
100000,memory,groupby,duckdb,1,5,1.7185,2.061,50,True
100000,memory,groupby,pandas,1,1,3.155541,3.163,50,True
100000,memory,groupby,pandas,1,2,2.447333,2.457,50,True
100000,memory,groupby,pandas,1,3,2.820708,2.829,50,True
100000,memory,groupby,pandas,1,4,2.284,2.291,50,True
100000,memory,groupby,pandas,1,5,2.701084,2.71,50,True
100000,memory,join_groupby,duckdb,1,1,4.050875,4.395,200,True
100000,memory,join_groupby,duckdb,1,2,3.983708,5.085,200,True
100000,memory,join_groupby,duckdb,1,3,3.816416,4.206,200,True
100000,memory,join_groupby,duckdb,1,4,4.135625,5.275,200,True
100000,memory,join_groupby,duckdb,1,5,4.022375,4.272,200,True
100000,memory,join_groupby,pandas,1,1,5.897416,5.906,200,True
100000,memory,join_groupby,pandas,1,2,5.653292,5.656,200,True
100000,memory,join_groupby,pandas,1,3,5.427083,5.429,200,True
100000,memory,join_groupby,pandas,1,4,5.015208,5.025,200,True
100000,memory,join_groupby,pandas,1,5,5.131125,5.128,200,True
100000,parquet,groupby,duckdb,2,6,1.956125,2.061,50,True
100000,parquet,groupby,duckdb,2,7,1.81675,1.875,50,True
100000,parquet,groupby,duckdb,2,8,1.666417,1.819,50,True
100000,parquet,groupby,duckdb,2,9,1.699333,1.815,50,True
100000,parquet,groupby,duckdb,2,10,1.784959,1.864,50,True
100000,parquet,groupby,pandas,2,6,4.435833,4.935,50,True
100000,parquet,groupby,pandas,2,7,3.893583,4.406,50,True
100000,parquet,groupby,pandas,2,8,4.1475,4.543,50,True
100000,parquet,groupby,pandas,2,9,3.600084,4.029,50,True
100000,parquet,groupby,pandas,2,10,3.76375,4.148,50,True
1000000,parquet,clean_derive,duckdb,2,6,9.088209,25.731,1000000,True
1000000,parquet,clean_derive,duckdb,2,7,8.881459,27.476,1000000,True
1000000,parquet,clean_derive,duckdb,2,8,8.7365,25.013,1000000,True
1000000,parquet,clean_derive,duckdb,2,9,8.510917,24.656,1000000,True
1000000,parquet,clean_derive,duckdb,2,10,8.366708,23.925,1000000,True
1000000,parquet,clean_derive,pandas,2,6,11.063417,24.082,1000000,True
1000000,parquet,clean_derive,pandas,2,7,9.92,21.271,1000000,True
1000000,parquet,clean_derive,pandas,2,8,9.243125,20.311,1000000,True
1000000,parquet,clean_derive,pandas,2,9,9.49,20.655,1000000,True
1000000,parquet,clean_derive,pandas,2,10,9.559875,20.677,1000000,True
10000000,parquet,groupby,pandas,2,6,101.021458,168.22,50,True
10000000,parquet,groupby,pandas,2,7,97.504917,162.527,50,True
10000000,parquet,groupby,pandas,2,8,93.471417,158.836,50,True
10000000,parquet,groupby,pandas,2,9,93.407542,158.232,50,True
10000000,parquet,groupby,pandas,2,10,95.176958,160.764,50,True
10000000,parquet,groupby,duckdb,2,6,29.635875,109.614,50,True
10000000,parquet,groupby,duckdb,2,7,29.155917,108.182,50,True
10000000,parquet,groupby,duckdb,2,8,28.790167,107.782,50,True
10000000,parquet,groupby,duckdb,2,9,28.539083,107.288,50,True
10000000,parquet,groupby,duckdb,2,10,29.201542,109.01,50,True
10000000,parquet,join_groupby,duckdb,2,6,45.816708,167.703,200,True
10000000,parquet,join_groupby,duckdb,2,7,45.73875,169.053,200,True
10000000,parquet,join_groupby,duckdb,2,8,46.212041,170.173,200,True
10000000,parquet,join_groupby,duckdb,2,9,45.351625,167.777,200,True
10000000,parquet,join_groupby,duckdb,2,10,45.15025,168.171,200,True
10000000,parquet,join_groupby,pandas,2,6,318.941292,408.682,200,True
10000000,parquet,join_groupby,pandas,2,7,321.932208,410.362,200,True
10000000,parquet,join_groupby,pandas,2,8,321.499542,407.923,200,True
10000000,parquet,join_groupby,pandas,2,9,448.426416,461.39,200,True
10000000,parquet,join_groupby,pandas,2,10,326.8775,418.518,200,True
10000000,parquet,clean_derive,duckdb,2,6,67.821583,235.175,10000000,True
10000000,parquet,clean_derive,duckdb,2,7,67.559667,233.553,10000000,True
10000000,parquet,clean_derive,duckdb,2,8,69.550292,234.193,10000000,True
10000000,parquet,clean_derive,duckdb,2,9,66.971,232.584,10000000,True
10000000,parquet,clean_derive,duckdb,2,10,67.138875,230.329,10000000,True
10000000,parquet,clean_derive,pandas,2,6,89.803333,212.442,10000000,True
10000000,parquet,clean_derive,pandas,2,7,89.768708,211.624,10000000,True
10000000,parquet,clean_derive,pandas,2,8,88.426625,207.758,10000000,True
10000000,parquet,clean_derive,pandas,2,9,85.463125,205.23,10000000,True
10000000,parquet,clean_derive,pandas,2,10,84.948375,204.514,10000000,True
100000,parquet,join_groupby,duckdb,2,6,4.77375,5.462,200,True
100000,parquet,join_groupby,duckdb,2,7,5.083,9.199,200,True
100000,parquet,join_groupby,duckdb,2,8,4.788833,5.336,200,True
100000,parquet,join_groupby,duckdb,2,9,4.657583,6.359,200,True
100000,parquet,join_groupby,duckdb,2,10,4.75025,8.647,200,True
100000,parquet,join_groupby,pandas,2,6,7.399667,8.298,200,True
100000,parquet,join_groupby,pandas,2,7,7.32275,8.255,200,True
100000,parquet,join_groupby,pandas,2,8,7.0605,7.883,200,True
100000,parquet,join_groupby,pandas,2,9,7.140041,7.903,200,True
100000,parquet,join_groupby,pandas,2,10,7.065709,7.891,200,True
100000,memory,join_groupby,pandas,2,6,5.115833,5.125,200,True
100000,memory,join_groupby,pandas,2,7,5.71925,5.706,200,True
100000,memory,join_groupby,pandas,2,8,5.065125,5.054,200,True
100000,memory,join_groupby,pandas,2,9,4.745625,4.73,200,True
100000,memory,join_groupby,pandas,2,10,4.770625,4.757,200,True
100000,memory,join_groupby,duckdb,2,6,3.91075,4.172,200,True
100000,memory,join_groupby,duckdb,2,7,3.535167,3.807,200,True
100000,memory,join_groupby,duckdb,2,8,3.837916,4.114,200,True
100000,memory,join_groupby,duckdb,2,9,3.862042,4.133,200,True
100000,memory,join_groupby,duckdb,2,10,3.864959,4.113,200,True
10000000,memory,groupby,duckdb,2,6,14.075625,53.034,50,True
10000000,memory,groupby,duckdb,2,7,15.289541,58.27,50,True
10000000,memory,groupby,duckdb,2,8,14.094709,53.097,50,True
10000000,memory,groupby,duckdb,2,9,14.921167,56.158,50,True
10000000,memory,groupby,duckdb,2,10,14.634625,55.391,50,True
10000000,memory,groupby,pandas,2,6,64.73725,64.631,50,True
10000000,memory,groupby,pandas,2,7,62.515,62.423,50,True
10000000,memory,groupby,pandas,2,8,63.324959,63.204,50,True
10000000,memory,groupby,pandas,2,9,66.35075,66.297,50,True
10000000,memory,groupby,pandas,2,10,64.988791,64.866,50,True
100000,parquet,filter_project,duckdb,2,6,2.31175,2.378,19886,True
100000,parquet,filter_project,duckdb,2,7,2.294875,2.333,19886,True
100000,parquet,filter_project,duckdb,2,8,2.200542,2.237,19886,True
100000,parquet,filter_project,duckdb,2,9,2.366833,2.405,19886,True
100000,parquet,filter_project,duckdb,2,10,2.266833,2.305,19886,True
100000,parquet,filter_project,pandas,2,6,2.940333,3.714,19886,True
100000,parquet,filter_project,pandas,2,7,2.701958,3.473,19886,True
100000,parquet,filter_project,pandas,2,8,2.725209,3.541,19886,True
100000,parquet,filter_project,pandas,2,9,2.567,3.284,19886,True
100000,parquet,filter_project,pandas,2,10,2.367083,3.066,19886,True
1000000,memory,clean_derive,pandas,2,6,3.568042,3.576,1000000,True
1000000,memory,clean_derive,pandas,2,7,3.541666,3.552,1000000,True
1000000,memory,clean_derive,pandas,2,8,3.615833,3.616,1000000,True
1000000,memory,clean_derive,pandas,2,9,3.505417,3.516,1000000,True
1000000,memory,clean_derive,pandas,2,10,3.86325,3.841,1000000,True
1000000,memory,clean_derive,duckdb,2,6,5.3265,13.163,1000000,True
1000000,memory,clean_derive,duckdb,2,7,5.291042,14.033,1000000,True
1000000,memory,clean_derive,duckdb,2,8,5.250542,14.036,1000000,True
1000000,memory,clean_derive,duckdb,2,9,4.85475,13.29,1000000,True
1000000,memory,clean_derive,duckdb,2,10,5.056875,12.823,1000000,True
100000,memory,clean_derive,pandas,2,6,0.99925,1.008,100000,True
100000,memory,clean_derive,pandas,2,7,0.763334,0.772,100000,True
100000,memory,clean_derive,pandas,2,8,0.699542,0.709,100000,True
100000,memory,clean_derive,pandas,2,9,0.865291,0.875,100000,True
100000,memory,clean_derive,pandas,2,10,0.713417,0.721,100000,True
100000,memory,clean_derive,duckdb,2,6,2.313791,3.492,100000,True
100000,memory,clean_derive,duckdb,2,7,1.895042,2.995,100000,True
100000,memory,clean_derive,duckdb,2,8,1.987292,3.067,100000,True
100000,memory,clean_derive,duckdb,2,9,1.908875,1.941,100000,True
100000,memory,clean_derive,duckdb,2,10,1.707583,1.739,100000,True
100000,memory,groupby,duckdb,2,6,1.627458,1.891,50,True
100000,memory,groupby,duckdb,2,7,1.77225,2.039,50,True
100000,memory,groupby,duckdb,2,8,1.651333,1.873,50,True
100000,memory,groupby,duckdb,2,9,1.499708,1.828,50,True
100000,memory,groupby,duckdb,2,10,1.542833,1.81,50,True
100000,memory,groupby,pandas,2,6,2.33825,2.347,50,True
100000,memory,groupby,pandas,2,7,2.179834,2.191,50,True
100000,memory,groupby,pandas,2,8,2.162958,2.17,50,True
100000,memory,groupby,pandas,2,9,2.684625,2.675,50,True
100000,memory,groupby,pandas,2,10,2.038333,2.047,50,True
1000000,parquet,join_groupby,duckdb,2,6,8.464375,22.92,200,True
1000000,parquet,join_groupby,duckdb,2,7,8.135333,20.702,200,True
1000000,parquet,join_groupby,duckdb,2,8,8.482417,23.228,200,True
1000000,parquet,join_groupby,duckdb,2,9,7.858208,20.207,200,True
1000000,parquet,join_groupby,duckdb,2,10,8.396208,23.747,200,True
1000000,parquet,join_groupby,pandas,2,6,31.99675,40.786,200,True
1000000,parquet,join_groupby,pandas,2,7,35.496042,44.556,200,True
1000000,parquet,join_groupby,pandas,2,8,32.661583,41.262,200,True
1000000,parquet,join_groupby,pandas,2,9,33.229875,42.988,200,True
1000000,parquet,join_groupby,pandas,2,10,32.40225,40.351,200,True
1000000,memory,join_groupby,pandas,2,6,27.534708,27.474,200,True
1000000,memory,join_groupby,pandas,2,7,26.575916,26.518,200,True
1000000,memory,join_groupby,pandas,2,8,27.518417,27.495,200,True
1000000,memory,join_groupby,pandas,2,9,26.623375,26.614,200,True
1000000,memory,join_groupby,pandas,2,10,26.976459,26.922,200,True
1000000,memory,join_groupby,duckdb,2,6,6.987417,17.3,200,True
1000000,memory,join_groupby,duckdb,2,7,6.823208,17.441,200,True
1000000,memory,join_groupby,duckdb,2,8,7.131792,18.759,200,True
1000000,memory,join_groupby,duckdb,2,9,7.325916,18.246,200,True
1000000,memory,join_groupby,duckdb,2,10,7.28925,20.177,200,True
10000000,memory,clean_derive,pandas,2,6,33.01475,32.946,10000000,True
10000000,memory,clean_derive,pandas,2,7,32.698166,32.602,10000000,True
10000000,memory,clean_derive,pandas,2,8,28.713291,28.677,10000000,True
10000000,memory,clean_derive,pandas,2,9,30.292375,30.248,10000000,True
